OBJECTID,Longitude,Latitude,ElevationB
2253,-149.62752074200,68.63310285250,-23.30000000000
2254,-149.62755210400,68.63313067090,-23.10000000000
2255,-149.62757913000,68.63316181550,-21.70000000000
2256,-149.62760382400,68.63319129700,-21.00000000000
2257,-149.62762509900,68.63322157280,-19.60000000000
2258,-149.62764315600,68.63325190600,-19.20000000000
2259,-149.62765998000,68.63328139540,-19.30000000000
2260,-149.62767868300,68.63330839120,-19.30000000000
2261,-149.62769860300,68.63333870370,-19.20000000000
2262,-149.62771655100,68.63336818500,-19.20000000000
2263,-149.62773304000,68.63339766620,-18.00000000000
2264,-149.62775094700,68.63343124190,-17.70000000000
2265,-149.62776998700,68.63345823350,-17.20000000000
2266,-149.62779290300,68.63348773080,-17.30000000000
2267,-149.62781357200,68.63351886630,-17.50000000000
2268,-149.62783779600,68.63354672600,-16.20000000000
2269,-149.62785870100,68.63357618210,-15.40000000000
2270,-149.62788205100,68.63360730910,-15.20000000000
2271,-149.62790402800,68.63363846030,-14.80000000000
2272,-149.62792587000,68.63366790870,-14.20000000000
2273,-149.62794649500,68.63369407350,-13.30000000000
2274,-149.62796809000,68.63372720810,-12.40000000000
2275,-149.62798657900,68.63375689940,-11.60000000000
2276,-149.62800523400,68.63378690690,-10.60000000000
2277,-149.62802564800,68.63381912920,-9.70000000000
2278,-149.62804893700,68.63384723450,-8.90000000000
2279,-149.62806975600,68.63387684230,-8.10000000000
2280,-149.62809046600,68.63390866740,-7.40000000000
2281,-149.62811241800,68.63393733460,-6.80000000000
2282,-149.62813297200,68.63396762840,-6.20000000000
2283,-149.62815404100,68.63399899160,-5.40000000000
2284,-149.62817781800,68.63402854720,-4.90000000000
2285,-149.62820103000,68.63405934510,-4.20000000000
2286,-149.62822234900,68.63409047060,-3.40000000000
2287,-149.62824357800,68.63412158120,-2.70000000000
2288,-149.62826957300,68.63414964540,-1.70000000000
2289,-149.62830991800,68.63417351270,-1.20000000000
2290,-149.62836624800,68.63418802370,-1.70000000000
2291,-149.62841128500,68.63419284480,-1.90000000000
2292,-149.62844842300,68.63419260920,-1.20000000000
2293,-149.62847803600,68.63419125790,-1.30000000000
2294,-149.62850083400,68.63418959020,-1.50000000000
2295,-149.62851932500,68.63418733020,-1.50000000000
2296,-149.62853392900,68.63418431120,-1.50000000000
2297,-149.62854702800,68.63418097740,-1.60000000000
2298,-149.62855651100,68.63417518460,-1.50000000000
2299,-149.62856499400,68.63417021720,-1.50000000000
2300,-149.62857155200,68.63416630870,-1.50000000000
2301,-149.62857928400,68.63416133030,-1.40000000000
2302,-149.62859476900,68.63415485870,-1.40000000000
2303,-149.62861606300,68.63414625590,-1.50000000000
2304,-149.62863311000,68.63413694230,-1.40000000000
2305,-149.62865006200,68.63412635310,-1.30000000000
2306,-149.62866497100,68.63411339220,-1.40000000000
2307,-149.62867584000,68.63410073560,-3.90000000000
2308,-149.62868381900,68.63409031870,-1.20000000000
2309,-149.62868929800,68.63407823630,-1.60000000000
2310,-149.62869180700,68.63406961020,-2.20000000000
2311,-149.62869431800,68.63406207580,-2.40000000000
2312,-149.62869682500,68.63405362530,-2.50000000000
2313,-149.62869534800,68.63404484560,-2.70000000000
2314,-149.62869242200,68.63403641590,-3.00000000000
2315,-149.62868950500,68.63402838180,-3.10000000000
2316,-149.62868470500,68.63401824980,-3.40000000000
2317,-149.62867854700,68.63400693560,-3.70000000000
2318,-149.62866959400,68.63399235620,-4.00000000000
2319,-149.62866232600,68.63397459180,-4.50000000000
2320,-149.62865520600,68.63395577380,-5.00000000000
2321,-149.62864427800,68.63393363370,-5.50000000000
2322,-149.62863175200,68.63391194300,-6.00000000000
2323,-149.62861596100,68.63388492110,-6.60000000000
2324,-149.62860067500,68.63386034460,-7.00000000000
2325,-149.62858608900,68.63383578870,-7.40000000000
2326,-149.62857253500,68.63381133230,-7.80000000000
2327,-149.62856001800,68.63378419380,-8.10000000000
2328,-149.62854441100,68.63375713560,-8.60000000000
2329,-149.62853094600,68.63372685510,-9.20000000000
2330,-149.62851783300,68.63369247600,-9.90000000000
2331,-149.62850124700,68.63365864220,-10.50000000000
2332,-149.62848697500,68.63362480840,-11.00000000000
2333,-149.62847291900,68.63358765520,-11.60000000000
2334,-149.62845612700,68.63355381160,-12.60000000000
